addr,data
0x000,0xFF
0x001,0x28
0x002,0x30
0x003,0x37
0x004,0x40
0x005,0x26
0x006,0x2D
0x007,0x35
0x008,0xFF
0x009,0x27
0x00A,0x30
0x00B,0x37
0x00C,0x3F
0x00D,0x26
0x00E,0x2C
0x00F,0x35
0x010,0xFF
0x011,0x28
0x012,0x30
0x013,0x36
0x014,0x40
0x015,0x28
0x016,0x2A
0x017,0x34
0x018,0xFF
0x019,0x28
0x01A,0x30
0x01B,0x38
0x01C,0x40
0x01D,0x28
0x01E,0x2C
0x01F,0x34
0x020,0xFF
0x021,0x29
0x022,0x30
0x023,0x37
0x024,0x41
0x025,0x29
0x026,0x2B
0x027,0x35
0x028,0xFF
0x029,0x2B
0x02A,0x34
0x02B,0x3A
0x02C,0x43
0x02D,0x2B
0x02E,0x30
0x02F,0x39
0x030,0xFF
0x031,0x2B
0x032,0x34
0x033,0x3B
0x034,0x43
0x035,0x2B
0x036,0x30
0x037,0x39
0x038,0xFF
0x039,0x2B
0x03A,0x33
0x03B,0x3A
0x03C,0x43
0x03D,0x2B
0x03E,0x30
0x03F,0x39
0x040,0xFF
0x041,0x2B
0x042,0x33
0x043,0x3B
0x044,0x43
0x045,0x2B
0x046,0x30
0x047,0x39
0x048,0xFF
0x049,0x2A
0x04A,0x33
0x04B,0x3A
0x04C,0x42
0x04D,0x2A
0x04E,0x2E
0x04F,0x36
0x050,0xFF
0x051,0x2B
0x052,0x35
0x053,0x3A
0x054,0x43
0x055,0x2B
0x056,0x2E
0x057,0x37
0x058,0xFF
0x059,0x2B
0x05A,0x34
0x05B,0x3E
0x05C,0x40
0x05D,0x2B
0x05E,0x32
0x05F,0x37
0x060,0xFF
0x061,0x2B
0x062,0x33
0x063,0x3E
0x064,0x3F
0x065,0x2B
0x066,0x32
0x067,0x37
0x068,0xFF
0x069,0x2A
0x06A,0x33
0x06B,0x39
0x06C,0x42
0x06D,0x2A
0x06E,0x2D
0x06F,0x36
0x070,0x74
0x071,0x64
0x072,0x75
0x073,0x74
0x074,0x73
0x075,0x75
0x076,0x73
0x077,0xFF
0x078,0xFF
0x079,0xFF
0x07A,0xFF
0x07B,0xFF
0x07C,0xFF
0x07D,0xFF
0x07E,0xFF
0x07F,0xFF
0x080,0xFF
0x081,0xFF
0x082,0xFF
0x083,0x68
0x084,0xFF
0x085,0xFF
0x086,0x40
0x087,0x79
0x088,0x81
0x089,0xD0
0x08A,0x15
0x08B,0xFF
0x08C,0x61
0x08D,0x10
0x08E,0x05
0x08F,0xFF
0x090,0xFF
0x091,0x08
0x092,0x45
0x093,0xFF
0x094,0xFF
0x095,0xD9
0x096,0xFF
0x097,0xFF
0x098,0xFF
0x099,0x70
0x09A,0xFF
0x09B,0xFF
0x09C,0xFF
0x09D,0x80
0x09E,0xFF
0x09F,0xFF
0x0A0,0xFF
0x0A1,0xFF
0x0A2,0xFF
0x0A3,0xFF
0x0A4,0xFF
0x0A5,0xFF
0x0A6,0xC5
0x0A7,0xFF
0x0A8,0xFF
0x0A9,0xFF
0x0AA,0xFF
0x0AB,0xFF
0x0AC,0xFF
0x0AD,0x68
0x0AE,0xFF
0x0AF,0xFF
0x0B0,0xFF
0x0B1,0xFF
0x0B2,0xFF
0x0B3,0xFF
0x0B4,0xFF
0x0B5,0xFF
0x0B6,0xFF
0x0B7,0xFF
0x0B8,0xFF
0x0B9,0xFF
0x0BA,0xFF
0x0BB,0xFF
0x0BC,0xFF
0x0BD,0xFF
0x0BE,0xFF
0x0BF,0xFF
0x0C0,0xFF
0x0C1,0xFF
0x0C2,0xFF
0x0C3,0xFF
0x0C4,0xFF
0x0C5,0xFF
0x0C6,0xB5
0x0C7,0xC9
0x0C8,0xFF
0x0C9,0x58
0x0CA,0xFF
0x0CB,0xFF
0x0CC,0xFF
0x0CD,0x99
0x0CE,0xFF
0x0CF,0xFF
0x0D0,0xFF
0x0D1,0xB8
0x0D2,0xFF
0x0D3,0xFF
0x0D4,0xFF
0x0D5,0xFF
0x0D6,0xFF
0x0D7,0xFF
0x0D8,0xCA
0x0D9,0xFF
0x0DA,0xFF
0x0DB,0xFF
0x0DC,0xFF
0x0DD,0xFF
0x0DE,0xFF
0x0DF,0xFF
0x0E0,0xFF
0x0E1,0xFF
0x0E2,0xFF
0x0E3,0xFF
0x0E4,0xFF
0x0E5,0x75
0x0E6,0xA0
0x0E7,0xFF
0x0E8,0xFF
0x0E9,0xD0
0x0EA,0xFF
0x0EB,0xFF
0x0EC,0x61
0x0ED,0x70
0x0EE,0xFF
0x0EF,0xFF
0x0F0,0xFF
0x0F1,0xFF
0x0F2,0xFF
0x0F3,0xFF
0x0F4,0xFF
0x0F5,0xFF
0x0F6,0xFF
0x0F7,0xFF
0x0F8,0xFF
0x0F9,0xFF
0x0FA,0xFF
0x0FB,0xFF
0x0FC,0xFF
0x0FD,0xFF
0x0FE,0xFF
0x0FF,0xFF
0x100,0xFF
0x101,0xFF
0x102,0xFF
0x103,0xFF
0x104,0xFF
0x105,0x55
0x106,0xFF
0x107,0xFF
0x108,0x81
0x109,0x90
0x10A,0xFF
0x10B,0xFF
0x10C,0xFF
0x10D,0x80
0x10E,0xFF
0x10F,0xFF
0x110,0xFF
0x111,0xFF
0x112,0xFF
0x113,0xFF
0x114,0xFF
0x115,0xFF
0x116,0xFF
0x117,0xFF
0x118,0xFF
0x119,0xFF
0x11A,0xFF
0x11B,0xFF
0x11C,0xFF
0x11D,0xFF
0x11E,0xFF
0x11F,0xFF
0x120,0xFF
0x121,0xFF
0x122,0xFF
0x123,0xFF
0x124,0xFF
0x125,0xA5
0x126,0xFF
0x127,0xFF
0x128,0xFF
0x129,0xFF
0x12A,0xFF
0x12B,0xFF
0x12C,0xCA
0x12D,0xFF
0x12E,0xFF
0x12F,0xFF
0x130,0xFF
0x131,0xFF
0x132,0xFF
0x133,0xFF
0x134,0xFF
0x135,0xFF
0x136,0xFF
0x137,0xFF
0x138,0xFF
0x139,0xFF
0x13A,0xFF
0x13B,0xFF
0x13C,0xFF
0x13D,0xFF
0x13E,0xFF
0x13F,0xFF
0x140,0xFF
0x141,0xFF
0x142,0xFF
0x143,0xFF
0x144,0xFF
0x145,0xFF
0x146,0xFF
0x147,0xFF
0x148,0xFF
0x149,0xFF
0x14A,0xFF
0x14B,0xFF
0x14C,0xFF
0x14D,0xFF
0x14E,0xFF
0x14F,0xFF
0x150,0xFF
0x151,0xFF
0x152,0xFF
0x153,0xFF
0x154,0xFF
0x155,0xFF
0x156,0xFF
0x157,0xFF
0x158,0xFF
0x159,0xFF
0x15A,0xFF
0x15B,0xFF
0x15C,0xFF
0x15D,0xFF
0x15E,0xFF
0x15F,0xFF
0x160,0xFF
0x161,0xFF
0x162,0xFF
0x163,0xFF
0x164,0xFF
0x165,0xFF
0x166,0xFF
0x167,0xFF
0x168,0xFF
0x169,0xFF
0x16A,0xFF
0x16B,0xFF
0x16C,0xFF
0x16D,0xFF
0x16E,0xFF
0x16F,0xFF
0x170,0xFF
0x171,0xFF
0x172,0xFF
0x173,0xFF
0x174,0xFF
0x175,0xFF
0x176,0xFF
0x177,0xFF
0x178,0xFF
0x179,0xFF
0x17A,0xFF
0x17B,0xFF
0x17C,0xFF
0x17D,0xFF
0x17E,0xFF
0x17F,0xFF
0x180,0x12
0x181,0x42
0x182,0xF9
0x183,0x26
0x184,0xBA
0x185,0xAB
0x186,0xE6
0x187,0x6C
0x188,0x31
0x189,0x30
0x18A,0x61
0x18B,0x81
0x18C,0xFB
0x18D,0xC4
0x18E,0xD1
0x18F,0x3F
0x190,0x09
