addr,data
0x001, 0x2B
0x002, 0x34
0x003, 0x3C
0x004, 0x43
0x005, 0x29
0x006, 0x32
0x007, 0x39
0x008, 0x24
0x009, 0x2B
0x00A, 0x33
0x00B, 0x3C
0x00C, 0x43
0x00D, 0x29
0x00E, 0x32
0x00F, 0x38
0x010, 0x24
0x011, 0x2A
0x012, 0x34
0x013, 0x3C
0x014, 0x42
0x015, 0x28
0x016, 0x30
0x017, 0x36
0x018, 0x24
0x019, 0x2C
0x01A, 0x34
0x01B, 0x3C
0x01C, 0x44
0x01D, 0x28
0x01E, 0x30
0x01F, 0x38
0x020, 0x24
0x021, 0x2B
0x022, 0x35
0x023, 0x3C
0x024, 0x43
0x025, 0x29
0x026, 0x30
0x027, 0x37
0x028, 0x28
0x029, 0x2E
0x02A, 0x37
0x02B, 0x40
0x02C, 0x46
0x02D, 0x2D
0x02E, 0x35
0x02F, 0x3C
0x030, 0x28
0x031, 0x2F
0x032, 0x37
0x033, 0x40
0x034, 0x47
0x035, 0x2B
0x036, 0x34
0x037, 0x3C
0x038, 0x27
0x039, 0x2E
0x03A, 0x37
0x03B, 0x3F
0x03C, 0x46
0x03D, 0x2D
0x03E, 0x33
0x03F, 0x3C
0x040, 0x27
0x041, 0x2F
0x042, 0x37
0x043, 0x3F
0x044, 0x47
0x045, 0x2D
0x046, 0x35
0x047, 0x3C
0x048, 0x27
0x049, 0x2E
0x04A, 0x36
0x04B, 0x3F
0x04C, 0x46
0x04D, 0x2A
0x04E, 0x33
0x04F, 0x3A
0x050, 0x29
0x051, 0x2E
0x052, 0x37
0x053, 0x41
0x054, 0x46
0x055, 0x2B
0x056, 0x35
0x057, 0x3A
0x058, 0x28
0x059, 0x32
0x05A, 0x37
0x05B, 0x3E
0x05C, 0x43
0x05D, 0x2B
0x05E, 0x34
0x05F, 0x3E
0x060, 0x27
0x061, 0x32
0x062, 0x37
0x063, 0x3E
0x064, 0x43
0x00A, 0x33
0x00B, 0x3C
0x00C, 0x43
0x00D, 0x29
0x00E, 0x32
0x00F, 0x38
0x010, 0x24
0x011, 0x2A
0x012, 0x34
0x013, 0x3C
0x014, 0x42
0x015, 0x28
0x016, 0x30
0x017, 0x36
0x018, 0x24
0x019, 0x2C
0x01A, 0x34
0x01B, 0x3C
0x01C, 0x44
0x01D, 0x28
0x01E, 0x30
0x01F, 0x38
0x020, 0x24
0x021, 0x2B
0x022, 0x35
0x023, 0x3C
0x024, 0x43
0x025, 0x29
0x026, 0x30
0x027, 0x37
0x028, 0x28
0x029, 0x2E
0x02A, 0x37
0x02B, 0x40
0x02C, 0x46
0x02D, 0x2D
0x02E, 0x35
0x02F, 0x3C
0x030, 0x28
0x031, 0x2F
0x032, 0x37
0x033, 0x40
0x034, 0x47
0x035, 0x2B
0x036, 0x34
0x037, 0x3C
0x038, 0x27
0x039, 0x2E
0x03A, 0x37
0x03B, 0x3F
0x03C, 0x46
0x03D, 0x2D
0x03E, 0x33
0x03F, 0x3C
0x040, 0x27
0x041, 0x2F
0x042, 0x37
0x043, 0x3F
0x044, 0x47
0x045, 0x2D
0x046, 0x35
0x047, 0x3C
0x048, 0x27
0x049, 0x2E
