ADDR,DATA
0x000,0x00
0x001,0xBC
0x002,0xBC
0x003,0xBC
0x004,0x65
0x005,0x00
0x006,0x00
0x007,0x00
0x008,0x00
0x009,0x00
0x00A,0x00
0x00B,0x00
0x00C,0x00
0x00D,0x00
0x00E,0x00
0x00F,0x00
0x010,0x63
0x011,0xB9
0x012,0x98
0x013,0x00
0x014,0x00
0x015,0x00
0x016,0x00
0x017,0x00
0x018,0x00
0x019,0x00
0x01A,0x00
0x01B,0x00
0x01C,0x00
0x01D,0x00
0x01E,0x00
0x01F,0x00
0x020,0xB0
0x021,0xBC
0x022,0x98
0x023,0x00
0x024,0x00
0x025,0x00
0x026,0x00
0x027,0x00
0x028,0x00
0x029,0x00
0x02A,0x00
0x02B,0x00
0x02C,0x00
0x02D,0x00
0x02E,0x00
0x02F,0x00
0x030,0xFE
0x031,0x63
0x032,0xB9
0x033,0x98
0x034,0x00
0x035,0x00
0x036,0x00
0x037,0x00
0x038,0x00
0x039,0x00
0x03A,0x00
0x03B,0x00
0x03C,0x00
0x03D,0x00
0x03E,0x00
0x03F,0x00
0x040,0xB0
0x041,0xBC
0x042,0xB6
0x043,0x98
0x044,0x00
0x045,0x00
0x046,0x00
0x047,0x00
0x048,0x00
0x049,0x00
0x04A,0x00
0x04B,0x00
0x04C,0x00
0x04D,0x00
0x04E,0x00
0x04F,0x00
0x050,0x5B
0x051,0xB4
0x052,0xB3
0x053,0x65
0x054,0x00
0x055,0x00
0x056,0x00
0x057,0x00
0x058,0x00
0x059,0x00
0x05A,0x00
0x05B,0x00
0x05C,0x00
0x05D,0x00
0x05E,0x00
0x05F,0x00
0x060,0xB4
0x061,0xB4
0x062,0xB2
0x063,0x65
0x064,0x50
0x065,0x80
0x066,0x65
0x067,0x00
0x068,0x00
0x069,0x00
0x06A,0x00
0x06B,0x00
0x06C,0x00
0x06D,0x00
0x06E,0x00
0x06F,0x00
0x070,0xFE
0x071,0x5B
0x072,0xB4
0x073,0xB0
0x074,0x65
0x075,0x00
0x076,0x00
0x077,0x00
0x078,0x00
0x079,0x00
0x07A,0x00
0x07B,0x00
0x07C,0x00
0x07D,0x00
0x07E,0x00
0x07F,0x00
0x080,0x00
0x081,0xB4
0x082,0xB4
0x083,0xB2
0x084,0x65
0x085,0x50
0x086,0x80
0x087,0x65
0x088,0x00
0x089,0x00
0x08A,0x00
0x08B,0x00
0x08C,0x00
0x08D,0x00
0x08E,0x00
0x08F,0x00
0x090,0x59
0x091,0xB0
0x092,0x00
0x093,0x00
0x094,0x00
0x095,0x00
0x096,0x00
0x097,0x00
0x098,0x00
0x099,0x00
0x09A,0x00
0x09B,0x00
0x09C,0x00
0x09D,0x00
0x09E,0x00
0x09F,0x00
0x0A0,0xB8
0x0A1,0xB7
0x0A2,0xB7
0x0A3,0x63
0x0A4,0xA2
0x0A5,0x01
0x0A6,0x65
0x0A7,0x01
0x0A8,0x65
0x0A9,0x01
0x0AA,0x65
0x0AB,0x01
0x0AC,0x65
0x0AD,0x00
0x0AE,0x00
0x0AF,0x00
0x0B0,0xFE
0x0B1,0x58
0x0B2,0xB0
0x0B3,0x00
0x0B4,0x00
0x0B5,0x00
0x0B6,0x00
0x0B7,0x00
0x0B8,0x00
0x0B9,0x00
0x0BA,0x00
0x0BB,0x00
0x0BC,0x00
0x0BD,0x00
0x0BE,0x00
0x0BF,0x00
0x0C0,0x00
0x0C1,0xB8
0x0C2,0xB7
0x0C3,0xB7
0x0C4,0x63
0x0C5,0xA0
0x0C6,0x50
0x0C7,0x70
0x0C8,0x10
0x0C9,0x70
0x0CA,0x20
0x0CB,0x70
0x0CC,0x20
0x0CD,0x70
0x0CE,0x00
0x0CF,0x00
0x0D0,0x55
0x0D1,0xB0
0x0D2,0x00
0x0D3,0x00
0x0D4,0x00
0x0D5,0x00
0x0D6,0x00
0x0D7,0x00
0x0D8,0x00
0x0D9,0x00
0x0DA,0x00
0x0DB,0x00
0x0DC,0x00
0x0DD,0x00
0x0DE,0x00
0x0DF,0x00
0x0E0,0xB8
0x0E1,0xB8
0x0E2,0xB8
0x0E3,0x65
0x0E4,0x00
0x0E5,0x00
0x0E6,0x00
0x0E7,0x00
0x0E8,0x00
0x0E9,0x00
0x0EA,0x00
0x0EB,0x00
0x0EC,0x00
0x0ED,0x00
0x0EE,0x00
0x0EF,0x00
0x0F0,0xFE
0x0F1,0x55
0x0F2,0xB2
0x0F3,0x00
0x0F4,0x00
0x0F5,0x00
0x0F6,0x00
0x0F7,0x00
0x0F8,0x00
0x0F9,0x00
0x0FA,0x00
0x0FB,0x00
0x0FC,0x00
0x0FD,0x00
0x0FE,0x00
0x0FF,0x00
0x100,0x00
0x101,0xB8
0x102,0xB8
0x103,0xB8
0x104,0x65
0x105,0x00
0x106,0x00
0x107,0x00
0x108,0x00
0x109,0x00
0x10A,0x00
0x10B,0x00
0x10C,0x00
0x10D,0x00
0x10E,0x00
0x10F,0x00
0x110,0x60
0x111,0x58
0x112,0xBC
0x113,0x58
0x114,0xBC
0x115,0x58
0x116,0xBB
0x117,0x58
0x118,0x00
0x119,0x00
0x11A,0x00
0x11B,0x00
0x11C,0x00
0x11D,0x00
0x11E,0x00
0x11F,0x00
0x120,0xC0
0x121,0xC0
0x122,0xC0
0x123,0xB4
0x124,0xB4
0x125,0xB4
0x126,0xB4
0x127,0xB4
0x128,0xB4
0x129,0xB0
0x12A,0x65
0x12B,0x02
0x12C,0x65
0x12D,0x01
0x12E,0x65
0x12F,0x00
0x130,0xFE
0x131,0x60
0x132,0x58
0x133,0xBC
0x134,0x58
0x135,0xBC
0x136,0x58
0x137,0xBB
0x138,0x58
0x139,0x00
0x13A,0x00
0x13B,0x00
0x13C,0x00
0x13D,0x00
0x13E,0x00
0x13F,0x00
0x140,0x00
0x141,0xC0
0x142,0xC0
0x143,0xC0
0x144,0xB4
0x145,0xB4
0x146,0xB4
0x147,0xB4
0x148,0xB4
0x149,0xB4
0x14A,0xB0
0x14B,0x65
0x14C,0x02
0x14D,0x65
0x14E,0x01
0x14F,0x65
0x150,0x63
0x151,0xC2
0x152,0xB0
0x153,0xAC
0x154,0xAC
0x155,0x00
0x156,0x00
0x157,0x00
0x158,0x00
0x159,0x00
0x15A,0x00
0x15B,0x00
0x15C,0x00
0x15D,0x00
0x15E,0x00
0x15F,0x00
0x160,0xBC
0x161,0xBC
0x162,0xBC
0x163,0xBC
0x164,0x65
0x165,0x00
0x166,0x00
0x167,0x00
0x168,0x00
0x169,0x00
0x16A,0x00
0x16B,0x00
0x16C,0x00
0x16D,0x00
0x16E,0x00
0x16F,0x00
0x170,0xFE
0x171,0x63
0x172,0xC2
0x173,0xB0
0x174,0xAC
0x175,0xAC
0x176,0x00
0x177,0x00
0x178,0x00
0x179,0x00
0x17A,0x00
0x17B,0x00
0x17C,0x00
0x17D,0x00
0x17E,0x00
0x17F,0x00
0x180,0x00
0x181,0xBC
0x182,0xBC
0x183,0xBC
0x184,0xBC
0x185,0x65
0x186,0x00
0x187,0x00
0x188,0x00
0x189,0x00
0x18A,0x00
0x18B,0x00
0x18C,0x00
0x18D,0x00
0x18E,0x00
0x18F,0x00
0x190,0x60
0x191,0xB5
0x192,0xAC
0x193,0xA0
0x194,0xA0
0x195,0xA0
0x196,0xA0
0x197,0xA0
0x198,0xA0
0x199,0xA0
0x19A,0xA0
0x19B,0xA0
0x19C,0x00
0x19D,0x00
0x19E,0x00
0x19F,0x00
0x1A0,0xBC
0x1A1,0xBC
0x1A2,0xBC
0x1A3,0xA7
0x1A4,0x30
0x1A5,0x80
0x1A6,0x10
0x1A7,0x65
0x1A8,0x02
0x1A9,0x65
0x1AA,0x01
0x1AB,0x65
0x1AC,0x00
0x1AD,0x00
0x1AE,0x00
0x1AF,0x00
0x1B0,0xFE
0x1B1,0x60
0x1B2,0xB6
0x1B3,0xAC
0x1B4,0xA0
0x1B5,0xA0
0x1B6,0xA0
0x1B7,0xA0
0x1B8,0xA0
0x1B9,0xA0
0x1BA,0xA0
0x1BB,0xA0
0x1BC,0xA0
0x1BD,0x00
0x1BE,0x00
0x1BF,0x00
0x1C0,0x00
0x1C1,0xBC
0x1C2,0xBC
0x1C3,0xBC
0x1C4,0xA7
0x1C5,0x30
0x1C6,0x80
0x1C7,0x10
0x1C8,0x65
0x1C9,0x02
0x1CA,0x65
0x1CB,0x01
0x1CC,0x65
0x1CD,0x00
0x1CE,0x00
0x1CF,0x00
0x1D0,0x63
0x1D1,0xB2
0x1D2,0xAE
0x1D3,0x9C
0x1D4,0x00
0x1D5,0x00
0x1D6,0x00
0x1D7,0x00
0x1D8,0x00
0x1D9,0x00
0x1DA,0x00
0x1DB,0x00
0x1DC,0x00
0x1DD,0x00
0x1DE,0x00
0x1DF,0x00
0x1E0,0x63
0x1E1,0xB2
0x1E2,0xAE
0x1E3,0x9C
0x1E4,0x00
0x1E5,0x00
0x1E6,0x00
0x1E7,0x00
0x1E8,0x00
0x1E9,0x00
0x1EA,0x00
0x1EB,0x00
0x1EC,0x00
0x1ED,0x00
0x1EE,0x00
0x1EF,0x00
0x1F0,0xFE
0x1F1,0x63
0x1F2,0xB2
0x1F3,0xAE
0x1F4,0x9C
0x1F5,0x00
0x1F6,0x00
0x1F7,0x00
0x1F8,0x00
0x1F9,0x00
0x1FA,0x00
0x1FB,0x00
0x1FC,0x00
0x1FD,0x00
0x1FE,0x00
0x1FF,0x00
0x200,0x00
0x201,0xBC
0x202,0xBC
0x203,0xBC
0x204,0x65
0x205,0x00
0x206,0x00
0x207,0x00
0x208,0x00
0x209,0x00
0x20A,0x00
0x20B,0x00
0x20C,0x00
0x20D,0x00
0x20E,0x00
0x20F,0x00
0x210,0x63
0x211,0xB9
0x212,0x98
0x213,0x00
0x214,0x00
0x215,0x00
0x216,0x00
0x217,0x00
0x218,0x00
0x219,0x00
0x21A,0x00
0x21B,0x00
0x21C,0x00
0x21D,0x00
0x21E,0x00
0x21F,0x00
0x220,0xB0
0x221,0xBC
0x222,0x98
0x223,0x00
0x224,0x00
0x225,0x00
0x226,0x00
0x227,0x00
0x228,0x00
0x229,0x00
0x22A,0x00
0x22B,0x00
0x22C,0x00
0x22D,0x00
0x22E,0x00
0x22F,0x00
0x230,0xFE
0x231,0x63
0x232,0xB9
0x233,0x98
0x234,0x00
0x235,0x00
0x236,0x00
0x237,0x00
0x238,0x00
0x239,0x00
0x23A,0x00
0x23B,0x00
0x23C,0x00
0x23D,0x00
0x23E,0x00
0x23F,0x00
0x240,0xB0
