ADDR,DATA
0x0000,0x7B60
0x0001,0x7A90
0x0002,0x7A30
0x0003,0x7820
0x0004,0x7530
0x0005,0x7220
0x0006,0x6E10
0x0007,0x6A30
0x0008,0x67F0
0x0009,0x66A0
0x000A,0x64F0
0x000B,0x63F0
0x000C,0x6230
0x000D,0x60C0
0x000E,0x5F00
0x000F,0x5DE0
0x0010,0x5E30
0x0011,0x5E30
0x0012,0x5E90
0x0013,0x5F00
0x0014,0x5FF0
0x0015,0x6050
0x0016,0x6210
0x0017,0x64E0
0x0018,0x67B0
0x0019,0x6940
0x001A,0x6B30
0x001B,0x6E60
0x001C,0x7240
0x001D,0x7630
0x001E,0x7900
0x001F,0x7C10
0x0020,0x7EF0
0x0021,0x8200
0x0022,0x8420
0x0023,0x87B0
0x0024,0x8A50
0x0025,0x8D4C
0x0026,0x8F80
0x0027,0x9131
0x0028,0x9351
0x0029,0x96E3
0x002A,0x9A61
0x002B,0x9D3F
0x002C,0x9EFF
0x002D,0xA0C0
0x002E,0xA360
0x002F,0xA4D0
0x0030,0xA6A0
0x0031,0xA8F0
0x0032,0xAB10
0x0033,0xAB90
0x0034,0xAD80
0x0035,0xAE10
0x0036,0xAEE0
0x0037,0xAFD0
0x0038,0xB1B0
0x0039,0xB1F0
0x003A,0xB0C0
0x003B,0xAFD0
0x003C,0xAF90
0x003D,0xAF90
0x003E,0xB0B0
0x003F,0xB180
0x0040,0xB150
0x0041,0xB2A0
0x0042,0xB450
0x0043,0xB3D0
0x0044,0xB4F0
0x0045,0xB520
0x0046,0xB730
0x0047,0xB820
0x0048,0xB980
0x0049,0xB94C
0x004A,0xBBC0
0x004B,0xBD20
0x004C,0xBBC0
0x004D,0xBB30
0x004E,0xBB90
0x004F,0xBA6F
0x0050,0xB8EF
0x0051,0xB920
0x0052,0xB8C0
0x0053,0xB760
0x0054,0xB570
0x0055,0xB300
0x0056,0xB110
0x0057,0xAF30
0x0058,0xAD00
0x0059,0xA990
0x005A,0xA3E0
0x005B,0xA060
0x005C,0x9CD0
0x005D,0x98F0
0x005E,0x9380
0x005F,0x8F80
0x0060,0x8AF0
0x0061,0x8600
0x0062,0x8110
0x0063,0x7CE0
0x0064,0x7930
0x0065,0x7720
0x0066,0x73B0
0x0067,0x7010
0x0068,0x6D30
0x0069,0x69E0
0x006A,0x67B0
0x006B,0x6750
0x006C,0x65E0
0x006D,0x64E0
0x006E,0x62F0
0x006F,0x6305
0x0070,0x6211
0x0071,0x6140
0x0072,0x6120
0x0073,0x615F
0x0074,0x61BF
0x0075,0x62D0
0x0076,0x6420
0x0077,0x6510
0x0078,0x6580
0x0079,0x6660
0x007A,0x6850
0x007B,0x6980
0x007C,0x6A70
0x007D,0x6B80
0x007E,0x6C80
0x007F,0x6DD0
0x0080,0x6EF0
0x0081,0x70A0
0x0082,0x7260
0x0083,0x7440
0x0084,0x7680
0x0085,0x7750
0x0086,0x77E0
0x0087,0x7910
0x0088,0x79C0
0x0089,0x79D0
0x008A,0x79C0
0x008B,0x7B10
0x008C,0x7B50
0x008D,0x7D90
0x008E,0x7E90
0x008F,0x8020
0x0090,0x80D0
0x0091,0x8160
0x0092,0x8260
0x0093,0x83E0
0x0094,0x8680
0x0095,0x8800
0x0096,0x89D0
0x0097,0x8AE0
0x0098,0x8CD0
0x0099,0x8EC0
0x009A,0x9170
0x009B,0x9440
0x009C,0x9600
0x009D,0x9830
0x009E,0x99C0
0x009F,0x9CA0
0x00A0,0x9F20
0x00A1,0xA120
0x00A2,0xA3A0
0x00A3,0xA700
0x00A4,0xAA40
0x00A5,0xACA0
0x00A6,0xAE20
0x00A7,0xAF40
0x00A8,0xB180
0x00A9,0xB330
0x00AA,0xB520
0x00AB,0xB710
0x00AC,0xB770
0x00AD,0xB740
0x00AE,0xB6B0
0x00AF,0xB680
