file,class,std,autocorr,entropy,f0
../data/addr_100100/samples/audios/raw_audio/2_raw_audio_100100.wav,audio,24319.2,0.912,1.29,175.8
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_0.wav,audio,11231.2,0.879,4.89,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_64.wav,audio,20451.8,0.976,5.06,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_128.wav,audio,17651.4,0.982,4.95,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_192.wav,audio,14800.4,0.961,5.28,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_256.wav,audio,15425.7,0.971,4.96,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_320.wav,audio,19109.4,0.991,5.08,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_384.wav,audio,17764.0,0.983,5.04,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_448.wav,audio,16580.1,0.98,5.08,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_512.wav,audio,11231.2,0.879,4.89,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_576.wav,audio,20451.8,0.976,5.06,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_640.wav,audio,17651.4,0.982,4.95,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_704.wav,audio,14800.4,0.961,5.28,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_768.wav,audio,15425.7,0.971,4.96,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_832.wav,audio,19109.4,0.991,5.08,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_896.wav,audio,17764.0,0.983,5.04,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_960.wav,audio,16580.1,0.98,5.08,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1024.wav,audio,16662.9,0.982,4.63,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1088.wav,audio,11345.9,0.908,4.87,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1152.wav,audio,23402.9,0.981,5.02,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1216.wav,audio,17074.2,0.983,4.97,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1280.wav,audio,18458.6,0.955,5.07,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1344.wav,audio,17472.2,0.948,5.14,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1408.wav,audio,19385.9,0.99,4.95,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1472.wav,audio,18420.5,0.96,4.95,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1536.wav,audio,16662.9,0.982,4.63,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1600.wav,audio,11345.9,0.908,4.87,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1664.wav,audio,23402.9,0.981,5.02,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1728.wav,audio,17074.2,0.983,4.97,172.3
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1792.wav,audio,18458.6,0.955,5.07,344.5
../data/addr_100100/samples/audios/audio_out/chunk_64/sample_1856.wav,audio,17472.2,0.948,5.14,172.3
